Country,Confirmed,Deaths,Recovered,Active,Population,Continent 
Pacific island small states,3.106805384,3626.290589,,,2528958,
Post-demographic dividend,6.957685463,44217.89723,,,1115116448,
French Polynesia,13.81,,,,280904,Oceania
Qatar,3.45,50805.46357,,,2881060,Asia
Romania,4.84,12896.08862,,,19286123,Europe
Russian Federation,5.73,10126.72179,,,144104080,Asia
Rwanda,1.35,797.8555543,,,12952209,Africa
South Asia,6.625076417,1804.917623,,,1856882402,
Saudi Arabia,8.22,20110.31619,,,34813867,Asia
Sudan,17.71,595.467833,,,43849269,Africa
Senegal,7.1,1487.757309,,,16743930,Africa
Singapore,5.19,59797.75218,,,5685807,Asia
Solomon Islands,0.79,2258.400365,,,686878,Oceania
Sierra Leone,4.6,484.5212675,,,7976985,Africa
El Salvador,6.98,3798.636521,,,6486201,Africa
San Marino,,,,,33938,Europe
Somalia,13.1,309.4154546,,,15893219,Africa
Serbia,9.08,7666.244476,,,6908224,Europe
Sub-Saharan Africa (excluding high income),6.629073782,1482.909594,,,1135948313,Africa
South Sudan,12.66,,,,11193729,Africa
Sub-Saharan Africa,6.629073782,1483.769566,,,1136046775,Africa
Small states,9.98290078,10864.0078,,,41913035,
Sao Tome and Principe,13.86,2157.840446,,,219161,Africa
Suriname,8.65,6491.139065,,,586634,South America
Slovak Republic,6.79,19156.88961,,,5458827,Asia
Slovenia,5.17,25179.66717,,,2100126,Asia
Sweden,8.45,51925.71376,,,10353442,Europe
Eswatini,23.4,3415.459446,,,1160164,Africa
Sint Maarten (Dutch part),,,,,40812,North America
Seychelles,,11425.09293,,,98462,Africa
Syrian Arab Republic,9.03,,,,17500657,Asia
Turks and Caicos Islands,,23879.92665,,,38718,Asia
Chad,2.26,614.4651899,,,16425859,Africa
East Asia & Pacific (IDA & IBRD countries),4.412645646,8378.63094,,,2079198305,Asia
Europe & Central Asia (IDA & IBRD countries),7.57094637,8368.476616,,,462247461,Europe
Togo,4.05,914.9505826,,,8278737,Africa
Thailand,1.02,7189.041835,,,69799978,Asia
Tajikistan,7.5,859.1379611,,,9537642,Asia
Turkmenistan,4.38,,,,6031187,Asia
Latin North America & the Caribbean (IDA & IBRD countries),10.37961073,7244.555569,,,636492840,
Timor-Leste,5.06,1381.17566,,,1318442,Asia
Middle East & North Africa (IDA & IBRD countries),11.7328728,3063.189564,,,391344574,Europe
Tonga,4.37,,,,105697,Africa
South Asia (IDA & IBRD),6.625076417,1804.917623,,,1856882402,Asia
Sub-Saharan Africa (IDA & IBRD countries),6.629073782,1483.769566,,,1136046775,Africa
Trinidad and Tobago,6.74,15384.03946,,,1399491,Asia
Tunisia,16.69,3319.819024,,,11818618,Africa
Turkey,13.92,8538.16906,,,84339067,Europe
Tuvalu,,4143.109753,,,11792,Oceania
Tanzania,2.16,1076.470385,,,59734213,Africa
